name,link,price,location,picture,installment,extra,day,site
Placa de Vídeo MSI GeForce RTX 3060 Ventus 2X OC Edition 12Gb,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-msi-geforce-rtx-3060-ventus-2x-oc-edition-12gb-1410227389,R$ 1.749,"Belo Horizonte, Cidade Nova",https://img.olx.com.br/images/55/551533175661670.webp,"3x de R$ 583,00","['Pague Online', 'Parcelamento sem juros']","Ontem, 14:57",OLX
Placa de Vídeo AMD Radeon/RTX 2060 SUPER 8gb ,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-amd-radeon-rtx-2060-super-8gb-1409765417,R$ 1.200,"Belo Horizonte, Castelo",https://img.olx.com.br/images/48/488576059036027.webp,"3x de R$ 400,00","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","8 de jun, 20:09",OLX
Placa de Vídeo ASUS Dual GeForce RTX 4060 OC Edition 8GB GDDR6,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/informatica/placas-de-video/placa-de-video-asus-dual-geforce-rtx-4060-oc-edition-8gb-gddr6-1411398605,R$ 2.100,"Montes Claros, Interlagos",https://img.olx.com.br/images/27/277506659235817.webp,"3x de R$ 700,00","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","Hoje, 01:12",OLX
Placa de Vídeo NiViDiA RTX 4060 - Ventus 2X Black OC | LACRADA | ENTREGA RÁPIDA,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-nividia-rtx-4060-ventus-2x-black-oc-lacrada-entrega-rapida-1411398379,R$ 2.189,"Ribeirão das Neves, Tancredo Neves (Justinópolis)",https://img.olx.com.br/images/86/861519658442590.webp,"3x de R$ 729,67","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","Hoje, 01:09",OLX
Placa de Vídeo PCyes RTX 2060 Graffiti Series 6GB,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-pcyes-rtx-2060-graffiti-series-6gb-1411385616,R$ 1.350,"Belo Horizonte, Nossa Senhora de Fátima",https://img.olx.com.br/images/27/270554536610912.webp,"3x de R$ 450,00","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","Ontem, 23:30",OLX
Placa de Vídeo Gigabyte GeForce RTX 3070 Eagle OC 8G,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-gigabyte-geforce-rtx-3070-eagle-oc-8g-1411383718,R$ 2.199,"Belo Horizonte, Santa Terezinha",https://img.olx.com.br/images/19/191588539748693.webp,"3x de R$ 733,00","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","Ontem, 23:17",OLX
Placa de Vídeo ASRock AMD Radeon RX6600,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-asrock-amd-radeon-rx6600-1411379815,R$ 1.500,"Belo Horizonte, Calafate",https://img.olx.com.br/images/70/707525297587794.webp,"3x de R$ 500,00","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","Ontem, 22:52",OLX
Placa de Vídeo PcYes GTX 50TI 4GB GDDR5 128 Bits,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-pcyes-gtx-50ti-4gb-gddr5-128-bits-1373325022,R$ 650,"Belo Horizonte, Sagrada Família",https://img.olx.com.br/images/30/307592845757793.webp,"3x de R$ 216,67","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","Ontem, 22:26",OLX
Placa de Vídeo Zotac GeForce RTX 3070  leia:,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-zotac-geforce-rtx-3070-leia-1411371669,R$ 1.500,"Belo Horizonte, Juliana",https://img.olx.com.br/images/81/811576411264326.webp,"3x de R$ 500,00","['Pague Online', 'Parcelamento sem juros']","Ontem, 22:17",OLX
Placa de Vídeo RX 7800 XT Sapphire Nitro+ 16GB - IMPECÁVEL,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/placa-de-video-rx-7800-xt-sapphire-nitro-16gb-impecavel-1411370553,R$ 4.197,"Uberlândia, Tabajaras",https://img.olx.com.br/images/56/567510654759333.webp,"3x de R$ 1.399,00","['Pague Online', 'Parcelamento sem juros']","Ontem, 22:10",OLX
